,0,1,2,3,4,5,6,7,8,9,10,11
36,2387cd43-0f87-4c17-bc40-49ef5656acf9,8720387440498,NEW,NEW,,28.50,VVB,30,false,FBR,2022-01-25 10:31:29.664458 UTC,ShortBckXL
37,772c80d4-f6ee-4324-bd12-97830e5e8f25,8720387440146,NEW,NEW,,23.50,VVB,8,false,FBR,2022-01-25 10:31:10.797432 UTC,9128BckXL
38,0992dc00-be10-46b8-a613-c1de57fc302d,8720387440856,NEW,NEW,,62.50,VVB,2,false,FBR,2022-01-10 19:30:27.378618 UTC,ElegantPackXL
39,005b2d68-5309-4d6d-893c-c4425c4769a6,8720387440634,NEW,NEW,,63.45,VVB,2,false,FBR,2021-12-27 15:25:38.878648 UTC,SportivePackM
40,231b05b9-6cd6-40c0-9b0e-bf709d4a50cc,8720387440115,NEW,NEW,,23.50,VVB,11,false,FBR,2022-01-25 10:29:52.841877 UTC,9128BckS
41,9d5c0cf0-cf6f-4d8a-821a-0b5aa98166dd,8720387440290,NEW,NEW,,24.00,VVB,4,false,FBR,2021-12-27 15:25:38.878937 UTC,9145BckXL 
42,ed686cae-1ca8-453b-8c1e-6f6f15523eec,8720387440931,NEW,NEW,,26.00,VVB,12,true,FBR,2022-01-20 16:13:30.060292 UTC,Pichu
43,f004ea57-4a7a-466c-8b0a-d830559e900e,8720387440382,NEW,NEW,,18.00,VVB,3,false,FBR,2021-12-27 15:25:38.893504 UTC,ThongGrnL
44,39af05be-dc36-45dd-bfcc-3733d80c4e81,8720387440900,NEW,NEW,,29.99,VVB,9,false,FBR,2022-01-21 14:40:33.837049 UTC,LOTR-8
45,30dd94ca-e109-4c68-a587-f838483b1f2f,8720387440825,NEW,NEW,,62.50,VVB,1,false,FBR,2022-01-10 19:30:41.300151 UTC,ElegantPackS
46,2ea31f1c-af05-45e0-a479-e551ddb4886a,8720387440436,NEW,NEW,,18.00,VVB,3,false,FBR,2021-12-27 15:25:38.940293 UTC,ThongRdL
47,d85e0701-43e4-477e-8613-20945f51b043,8720387440153,NEW,NEW,,23.50,VVB,4,false,FBR,2022-01-25 10:30:14.150501 UTC,9128Bck2XL
48,df94f296-9b56-4a43-85ee-64a3b809233b,8720387440078,NEW,NEW,,16.00,VVB,2,false,FBR,2021-12-27 15:25:38.705432 UTC,ZilverSterMaan
49,6b825993-fe4a-4090-b8f5-f8d3a4ae603c,8720387440283,NEW,NEW,,24.00,VVB,3,false,FBR,2021-12-29 00:00:06.406655 UTC,9145BckL
50,95be8e3f-6915-4098-a354-b1a8dfdec2c8,8720387440719,NEW,NEW,,80.50,VVB,2,true,FBR,2021-12-27 15:25:39.221846 UTC,WeeklyPackXXL
51,5bb8760d-72da-4d30-a5c6-76332eb05391,8720387440764,NEW,NEW,,26.00,VVB,17,true,FBR,2022-01-20 16:13:34.0107 UTC,TOY-009
52,d7039e8a-001f-460e-b1c1-b89751bfd137,8720387440092,NEW,NEW,,16.00,VVB,1,false,FBR,2021-12-27 15:25:39.085554 UTC,CL-001
53,5a003cbb-e8f3-429d-a49e-047a8bf36fff,8720387440535,NEW,NEW,,25.00,VVB,0,false,FBR,2021-12-28 23:56:53.244656 UTC,LeopardL
54,a7241265-8d0f-4b80-863e-d0573020cbf6,8720387440788,NEW,NEW,,18.00,VVB,8,false,FBR,2021-12-27 15:25:38.913297 UTC,TOY-000
55,c502ec3c-c818-446c-817f-c4db037bd90f,8720387440313,NEW,NEW,,18.00,VVB,5,false,FBR,2022-01-23 09:33:52.436096 UTC,ThongBckS
56,71c685ac-4bf2-4e53-aca8-b668cbee090d,8720387440467,NEW,NEW,,28.50,VVB,40,false,FBR,2022-01-25 10:31:26.288129 UTC,ShortBckS
57,d7b6dcf7-a6a5-45ea-8b51-e3ea90c6b702,8720387440733,NEW,NEW,,19.00,VVB,8,false,FBR,2021-12-27 15:25:38.854948 UTC,STA-I
58,53a6611b-6331-4b0c-8446-352fa65e0b35,8720387440016,NEW,NEW,,17.90,VVB,3,false,FBR,2021-12-27 15:25:39.089217 UTC,TOY-001
59,61a4196c-f031-4418-a79c-1f8482619884,8720387440726,NEW,NEW,,39.95,VVB,0,false,FBR,2021-12-27 15:25:38.830526 UTC,Spk-I
60,e2bbaf11-b2d8-46ad-8712-609766b10d2e,8720387440757,NEW,NEW,,150.00,VVB,1,false,FBR,2021-12-31 14:57:16.911433 UTC,TOY-007
61,422a7e20-3e5c-4977-9293-1771abb5811f,8720387440863,NEW,NEW,,80.00,VVB,2,false,FBR,2022-01-09 09:25:54.780843 UTC,Char-I
62,581d271f-da76-4078-bd8a-f9b5c5c151e3,8720387440085,NEW,NEW,,20.85,VVB,0,true,FBR,2021-12-27 15:25:38.923895 UTC,TOY-3
63,cf797765-fabf-4d3a-a868-27c0754f5d6c,8720387440573,NEW,NEW,,63.00,VVB,2,false,FBR,2021-12-27 15:25:38.962473 UTC,EssentialPackS
64,556ef967-ba81-4eb8-a7f5-9e93480cc6e0,8720387440924,NEW,NEW,,29.99,VVB,8,false,FBR,2022-01-27 18:11:06.694672 UTC,LOTR-10
65,bf080fbb-b1aa-45bc-9092-d119badca9bd,8720387440351,NEW,NEW,,18.00,VVB,1,false,FBR,2021-12-27 15:25:38.868245 UTC,ThongBck2XL
66,ee7ae5a9-66df-4f9a-912d-8be603791802,8720387440771,NEW,NEW,,24.00,VVB,18,false,FBR,2022-01-26 15:50:21.082384 UTC,BL-I
67,0f75658b-1715-414b-b488-ec321dd60532,8720387440672,NEW,NEW,,80.50,VVB,2,true,FBR,2021-12-27 15:25:39.149345 UTC,WeeklyPackS
68,d061f24d-adc2-4f8e-ad63-a4562d5d57f6,8720387440740,NEW,NEW,,29.00,VVB,3,false,FBR,2021-12-27 15:25:38.743171 UTC,TOY-008
69,a3920e51-ffd9-4172-ab66-4d90270fcd55,8720387440887,NEW,NEW,,29.99,VVB,5,false,FBR,2022-01-21 14:39:17.204867 UTC,LOTR-6
70,343d4fd5-c738-4de7-ad42-cebc642c4191,8720387440269,NEW,NEW,,24.00,VVB,1,false,FBR,2022-01-07 19:14:52.413842 UTC,9145BckS
71,4f593f1b-11de-4c91-9806-ad91a3c039b7,8720387440993,NEW,NEW,,120.00,VVB,1,false,FBR,2022-01-16 22:46:40.509421 UTC,Char-II
72,7a279922-13c4-419d-b33c-a325216d47aa,8720387440108,NEW,NEW,,22.00,VVB,6,false,FBR,2021-12-27 15:25:39.164927 UTC,CL-2
73,c952718d-d96c-4480-b6bf-c4dfc97e737c,8720387440344,NEW,NEW,,18.00,VVB,1,false,FBR,2021-12-27 15:25:39.324305 UTC,ThongBckXL
74,0341f4e7-657a-4640-9028-ecad07e5fbab,8720387440375,NEW,NEW,,18.00,VVB,3,false,FBR,2022-01-25 13:56:45.316807 UTC,ThongGrnM
75,abbc1bcd-3af9-4148-94d4-cee0362ed725,8720387440641,NEW,NEW,,63.45,VVB,2,false,FBR,2021-12-27 15:25:39.202805 UTC,SportivePackL
76,9e18b9ee-2fea-46b8-ba77-14f61e4a31fe,8720387440191,NEW,NEW,,23.50,VVB,3,false,FBR,2022-01-25 10:31:15.409496 UTC,9128GrnXL
77,54d1354e-0506-44d5-bd80-5f36fe1cca4e,8720387440658,NEW,NEW,,63.45,VVB,2,false,FBR,2022-01-25 10:36:23.590407 UTC,SportivePackXL
78,a6ff10de-3c8e-4b0d-b603-1f70235becbb,8720387440917,NEW,NEW,,29.99,VVB,5,false,FBR,2022-01-26 16:14:37.444587 UTC,LOTR-9
