EAN	Product code	Supplier SKU	Color	Size	Description	Link
8720387440344	ThongBckXL	D6001	Black	XL	Bnatural Period Menstrual Thong Black XL 40 Gram	https://www.alibaba.com/product-detail/4-Layers-Menstrual-Panties-Sanitary-Panties_1600119902170.html?spm=a2756.order-detail-ta-ta-b.0.0.1e6c2fc26XvYmW
8720387440351	ThongBck2XL	D6001	Black	2XL	Bnatural Period Menstrual Thong Black 2XL 40 Gram	https://www.alibaba.com/product-detail/4-Layers-Menstrual-Panties-Sanitary-Panties_1600119902170.html?spm=a2756.order-detail-ta-ta-b.0.0.1e6c2fc26XvYmW
8720387440368	ThongGrnS	D6001	Green	S	Bnatural Period Menstrual Thong Green S 40 Gram	https://www.alibaba.com/product-detail/4-Layers-Menstrual-Panties-Sanitary-Panties_1600119902170.html?spm=a2756.order-detail-ta-ta-b.0.0.1e6c2fc26XvYmW
8720387440375	ThongGrnM	D6001	Green	M	Bnatural Period Menstrual Thong Green M 40 Gram	https://www.alibaba.com/product-detail/4-Layers-Menstrual-Panties-Sanitary-Panties_1600119902170.html?spm=a2756.order-detail-ta-ta-b.0.0.1e6c2fc26XvYmW
8720387440382	ThongGrnL	D6001	Green	L	Bnatural Period Menstrual Thong Green L 40 Gram	https://www.alibaba.com/product-detail/4-Layers-Menstrual-Panties-Sanitary-Panties_1600119902170.html?spm=a2756.order-detail-ta-ta-b.0.0.1e6c2fc26XvYmW
8720387440399	ThongGrnXL	D6001	Green	XL	Bnatural Period Menstrual Thong Green XL 40 Gram	https://www.alibaba.com/product-detail/4-Layers-Menstrual-Panties-Sanitary-Panties_1600119902170.html?spm=a2756.order-detail-ta-ta-b.0.0.1e6c2fc26XvYmW
8720387440405	ThongGrn2XL	D6001	Green	2XL	Bnatural Period Menstrual Thong Green 2XL 40 Gram	https://www.alibaba.com/product-detail/4-Layers-Menstrual-Panties-Sanitary-Panties_1600119902170.html?spm=a2756.order-detail-ta-ta-b.0.0.1e6c2fc26XvYmW
8720387440412	ThongRdS	D6001	Red	S	Bnatural Period Menstrual Thong Red S 40 Gram	https://www.alibaba.com/product-detail/4-Layers-Menstrual-Panties-Sanitary-Panties_1600119902170.html?spm=a2756.order-detail-ta-ta-b.0.0.1e6c2fc26XvYmW
8720387440429	ThongRdM	D6001	Red	M	Bnatural Period Menstrual Thong Red M 40 Gram	https://www.alibaba.com/product-detail/4-Layers-Menstrual-Panties-Sanitary-Panties_1600119902170.html?spm=a2756.order-detail-ta-ta-b.0.0.1e6c2fc26XvYmW
8720387440436	ThongRdL	D6001	Red	L	Bnatural Period Menstrual Thong Red L 40 Gram	https://www.alibaba.com/product-detail/4-Layers-Menstrual-Panties-Sanitary-Panties_1600119902170.html?spm=a2756.order-detail-ta-ta-b.0.0.1e6c2fc26XvYmW
8720387440443	ThongRdXL	D6001	Red	XL	Bnatural Period Menstrual Thong Red XL 40 Gram	https://www.alibaba.com/product-detail/4-Layers-Menstrual-Panties-Sanitary-Panties_1600119902170.html?spm=a2756.order-detail-ta-ta-b.0.0.1e6c2fc26XvYmW
8720387440450	ThongRd2XL	D6001	Red	2XL	Bnatural Period Menstrual Thong Red 2XL 40 Gram	https://www.alibaba.com/product-detail/4-Layers-Menstrual-Panties-Sanitary-Panties_1600119902170.html?spm=a2756.order-detail-ta-ta-b.0.0.1e6c2fc26XvYmW
8720387440467	ShortBckS	9091	Black	S	Bnatural Period Menstrual Shorts S 80 Gram	https://www.alibaba.com/product-detail/Reusable-4-Layers-Leak-Proof-Elastic_1600134265387.html?spm=a2756.order-detail-ta-ta-b.0.0.1e6c2fc2Rox56z
8720387440474	ShortBckM	9091	Black	M	Bnatural Period Menstrual Shorts M 80 Gram	https://www.alibaba.com/product-detail/Reusable-4-Layers-Leak-Proof-Elastic_1600134265387.html?spm=a2756.order-detail-ta-ta-b.0.0.1e6c2fc2Rox56z
