Type;Type productidentificatie;Productidentificatie;Artikelomschrijving;Datum;Bestelnummer;Aantal;"Tarief-
groep";Tarief;Bedrag;BTW %;Btw-bedrag;"Bedrag
(incl. BTW)";Land van verzending;Reden;Opmerking
Verkoopprijs artikel(en), ontvangen van kopers en door bol.com door te storten;EAN;8720387440016;Among Us Knuffel |Plushie| Rood | Among Us Plushie | Among Us | Cadeau | Gift | Knuffel |10 cm;14-12-2020;1135154995;1;;€19,850000;-€19,850000;0;€0,000000;-€19,850000;NL;;
Verkoopprijs artikel(en), ontvangen van kopers en door bol.com door te storten;EAN;8720387440023;Among US Knuffel | Plushie |  Among Us Knuffel |Plushie| Blauw | Among Us Plushie | Among Us | Cadeau | Gift | Knuffel |10 cm | Crewmate Imposter  |10cm;14-12-2020;1169073923;1;;€16,000000;-€16,000000;0;€0,000000;-€16,000000;NL;;
Verkoopprijs artikel(en), ontvangen van kopers en door bol.com door te storten;EAN;8720387440023;Among US Knuffel | Plushie |  Among Us Knuffel |Plushie| Blauw | Among Us Plushie | Among Us | Cadeau | Gift | Knuffel |10 cm | Crewmate Imposter  |10cm;14-12-2020;1173060420;1;;€16,000000;-€16,000000;0;€0,000000;-€16,000000;BE;;
Verkoopprijs artikel(en), ontvangen van kopers en door bol.com door te storten;EAN;8720387440023;Among US Knuffel | Plushie |  Among Us Knuffel |Plushie| Blauw | Among Us Plushie | Among Us | Cadeau | Gift | Knuffel |10 cm | Crewmate Imposter  |10cm;14-12-2020;1173130000;1;;€16,000000;-€16,000000;0;€0,000000;-€16,000000;BE;;
Verkoopprijs artikel(en), ontvangen van kopers en door bol.com door te storten;EAN;8720387440023;Among US Knuffel | Plushie |  Among Us Knuffel |Plushie| Blauw | Among Us Plushie | Among Us | Cadeau | Gift | Knuffel |10 cm | Crewmate Imposter  |10cm;14-12-2020;1173265151;1;;€16,000000;-€16,000000;0;€0,000000;-€16,000000;BE;;
Verkoopprijs artikel(en), ontvangen van kopers en door bol.com door te storten;EAN;8720387440016;Among Us Knuffel |Plushie| Rood | Among Us Plushie | Among Us | Cadeau | Gift | Knuffel |10 cm;14-12-2020;1173299244;1;;€19,850000;-€19,850000;0;€0,000000;-€19,850000;BE;;
Verkoopprijs artikel(en), ontvangen van kopers en door bol.com door te storten;EAN;8720387440023;Among US Knuffel | Plushie |  Among Us Knuffel |Plushie| Blauw | Among Us Plushie | Among Us | Cadeau | Gift | Knuffel |10 cm | Crewmate Imposter  |10cm;14-12-2020;1173333985;1;;€19,850000;-€19,850000;0;€0,000000;-€19,850000;BE;;
Verkoopprijs artikel(en), ontvangen van kopers en door bol.com door te storten;EAN;8720387440016;Among Us Knuffel |Plushie| Rood | Among Us Plushie | Among Us | Cadeau | Gift | Knuffel |10 cm;15-12-2020;1173452597;1;;€19,850000;-€19,850000;0;€0,000000;-€19,850000;NL;;
Verkoopprijs artikel(en), ontvangen van kopers en door bol.com door te storten;EAN;8720387440023;Among US Knuffel | Plushie |  Among Us Knuffel |Plushie| Blauw | Among Us Plushie | Among Us | Cadeau | Gift | Knuffel |10 cm | Crewmate Imposter  |10cm;15-12-2020;1173888744;1;;€19,850000;-€19,850000;0;€0,000000;-€19,850000;NL;;
Verkoopprijs artikel(en), ontvangen van kopers en door bol.com door te storten;EAN;8720387440023;Among US Knuffel | Plushie |  Among Us Knuffel |Plushie| Blauw | Among Us Plushie | Among Us | Cadeau | Gift | Knuffel |10 cm | Crewmate Imposter  |10cm;15-12-2020;1173881635;1;;€19,850000;-€19,850000;0;€0,000000;-€19,850000;BE;;
Verkoopprijs artikel(en), ontvangen van kopers en door bol.com door te storten;EAN;8720387440009;Lilo® - Vibrator Voor Vrouwen - G spot & clitoris stimulator- Erotiek Toy Seksspeeltjes Met 10 Frequenties -  USB Oplaadbar  - Waterproof - Geschikt voor glijmiddel - 21.8 cm - Roze;15-12-2020;1173720976;1;;€28,850000;-€28,850000;0;€0,000000;-€28,850000;NL;;
